,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
0,0.0,0.38,0.0,0.02,0.076,0.13,0.08,0.0,0.0,0.01,0.0,0.09
1,0.48,0.5,0.0,0.15,0.098,0.34,0.22,0.98,0.76,0.28,0.65,0.57
2,0.48,0.42,0.04,0.13,0.092,0.2,0.17,0.98,0.78,0.27,0.65,0.57
3,0.7,0.08,0.56,0.1,0.075,0.22,0.19,0.99,0.75,0.23,0.65,0.71
4,0.46,0.38,0.0,0.1,0.076,0.14,0.1,0.99,0.85,0.22,0.63,0.57
5,0.46,0.35,0.0,0.09,0.075,0.17,0.12,0.99,0.85,0.22,0.63,0.57
6,0.49,0.31,0.06,0.08,0.069,0.2,0.19,0.98,0.79,0.16,0.63,0.57
7,0.45,0.35,0.0,0.05,0.065,0.2,0.05,0.98,0.82,0.17,0.67,0.86
8,0.48,0.3,0.02,0.11,0.073,0.11,0.04,0.98,0.81,0.22,0.63,0.86
9,0.46,0.24,0.36,0.38,0.071,0.22,0.34,0.99,0.81,0.35,0.7,0.57
10,0.41,0.3,0.08,0.09,0.09699999999999999,0.2,0.21,0.98,0.79,0.21,0.61,0.57
11,0.46,0.24,0.36,0.38,0.071,0.22,0.34,0.99,0.81,0.35,0.7,0.57
12,0.34,0.32,0.0,0.08,0.08900000000000001,0.21,0.19,0.98,0.87,0.2,0.66,0.57
13,0.48,0.32,0.29,0.08,0.114,0.11,0.08,0.99,0.78,0.76,0.61,0.57
14,0.55,0.32,0.18,0.23,0.17600000000000002,0.72,0.49,0.99,0.75,0.39,0.61,0.57
15,0.55,0.32,0.19,0.23,0.17,0.7,0.5,0.99,0.75,0.42,0.61,0.57
16,0.53,0.09,0.56,0.09,0.092,0.48,0.34,0.98,0.79,0.32,0.7,0.86
17,0.5,0.28,0.28,0.09,0.368,0.21,0.18,0.98,0.74,0.61,0.62,0.57
18,0.46,0.3,0.08,0.27,0.086,0.07,0.08,0.99,0.81,0.19,0.6,0.42
19,0.49,0.11,0.51,0.09,0.341,0.22,0.18,0.98,0.72,0.5,0.61,0.71
20,0.55,0.04,0.48,0.09,0.077,0.39,0.19,0.98,0.82,0.2,0.63,0.71
21,0.47,0.18,0.31,0.13,0.08199999999999999,0.31,0.23,0.99,0.86,0.27,0.65,0.57
22,0.49,0.21,0.21,0.08,0.106,0.13,0.11,0.98,0.75,0.41,0.63,0.57
23,0.53,0.25,0.11,0.13,0.084,0.11,0.22,0.98,0.75,0.2,0.63,0.57
24,0.43,0.19,0.14,0.13,0.085,0.28,0.12,0.98,0.83,0.26,0.65,0.71
25,0.39,0.18,0.16,0.07,0.08,0.14,0.06,0.98,0.8,0.22,0.62,0.57
26,0.47,0.2,0.24,0.09,0.08,0.04,0.02,0.98,0.79,0.24,0.63,0.57
27,0.49,0.21,0.21,0.08,0.106,0.13,0.11,0.98,0.75,0.41,0.63,0.57
28,0.44,0.4,0.0,0.1,0.08,0.18,0.1,0.99,0.84,0.21,0.63,0.57
29,0.48,0.36,0.0,0.11,0.08199999999999999,0.1,0.04,0.98,0.81,0.24,0.65,0.71
30,0.41,0.38,0.07,0.13,0.08900000000000001,0.23,0.27,0.98,0.81,0.21,0.67,0.57
31,0.43,0.38,0.0,0.14,0.105,0.3,0.11,0.98,0.84,0.22,0.71,0.71
32,0.51,0.36,0.12,0.13,0.083,0.2,0.38,0.98,0.75,0.27,0.65,0.57
33,0.43,0.33,0.12,0.68,0.073,0.55,0.27,0.99,0.84,0.2,0.63,0.71
34,0.32,0.13,0.25,0.09,0.10300000000000001,0.17,0.16,0.98,0.81,0.21,0.61,0.57
35,0.48,0.36,0.0,0.34,0.086,0.06,0.04,0.99,0.82,0.21,0.64,0.71
36,0.48,0.33,0.14,0.13,0.086,0.03,0.03,0.99,0.83,0.24,0.72,0.71
37,0.5,0.18,0.28,0.11,0.066,0.17,0.09,0.98,0.77,0.31,0.65,0.86
38,0.35,0.69,0.09,0.07,0.172,0.08,0.05,0.98,0.85,0.18,0.65,0.42
39,0.45,0.22,0.36,0.37,0.07400000000000001,0.15,0.29,0.99,0.8,0.37,0.7,0.57
40,0.45,0.22,0.36,0.37,0.07400000000000001,0.15,0.29,0.99,0.8,0.37,0.7,0.57
41,0.55,0.33,0.3,0.16,0.08800000000000001,0.23,0.14,0.99,0.78,0.19,0.62,0.42
42,0.46,0.25,0.2,0.15,0.332,0.1,0.03,0.98,0.76,0.4,0.7,0.71
43,0.5,0.37,0.22,0.12,0.069,0.11,0.06,0.98,0.79,0.57,0.69,0.57
